glibc-simple sys   04.52 908 4.41 0.10 1 837
glibc-simple iso   04.69 27232 4.60 0.08 10 7467
glibc-simple je    04.72 1380 4.71 0.00 61 986
glibc-simple lp    04.75 1268 4.64 0.10 16 951
glibc-simple mi    01.52 1456 1.50 0.01 58 951
glibc-simple mi-sec 02.87 1660 2.87 0.00 30 1060
glibc-simple tc    02.98 4880 2.97 0.00 27 1836
glibc-simple pro   04.55 1044 4.46 0.08 1 894
cfrac       sys   08.09 1508 8.08 0.00 1 988
cfrac       iso   08.08 27456 8.06 0.01 1 7532
cfrac       je    08.17 1880 8.16 0.00 1 1122
cfrac       lp    08.04 1616 8.04 0.00 1 1049
cfrac       mi    05.23 1916 5.22 0.00 1 1122
cfrac       mi-sec 06.90 2568 6.89 0.00 1 1285
cfrac       tc    07.08 5392 7.07 0.00 1 1989
cfrac       pro   08.14 1524 8.13 0.00 1 1013
espresso    sys   05.44 3592 5.38 0.06 1 1506
espresso    iso   05.45 29024 5.37 0.06 1 7921
espresso    je    05.34 2316 5.31 0.03 4 1234
espresso    lp    05.45 2808 5.39 0.06 1 1344
espresso    mi    04.23 2612 4.19 0.03 1 1293
espresso    mi-sec 04.81 4628 4.76 0.04 1 10798
espresso    tc    04.82 6148 4.78 0.03 1 2175
espresso    pro   05.42 2624 5.35 0.06 1 1285
barnes      sys   00.06 21180 0.04 0.00 1 5905
barnes      iso   00.08 47228 0.05 0.02 1 12474
barnes      je    00.06 21744 0.05 0.01 1 6090
barnes      lp    00.06 21264 0.04 0.01 1 5960
barnes      mi    00.06 21668 0.04 0.01 1 6059
barnes      mi-sec 00.06 21904 0.04 0.01 1 6118
barnes      tc    00.06 25072 0.04 0.01 1 6908
barnes      pro   00.06 21196 0.04 0.00 1 5930
larsonN-sized sys   39.049 40220 36.84 2.59 1 15863
larsonN-sized iso   34.902 67696 37.89 1.90 1 21604
larsonN-sized je    9.898 54912 39.81 0.23 2 22746
larsonN-sized lp    35.206 42116 38.28 1.61 1 23818
larsonN-sized mi    6.357 65004 39.79 0.21 1 18463
larsonN-sized mi-sec 20.478 82000 39.67 0.39 1 75295
larsonN-sized tc    5.900 40748 39.89 0.17 2 12581
larsonN-sized pro   34.986 41924 38.21 1.68 1 25087
mstressN    sys   01.04 161040 3.04 1.39 1 660864
mstressN    iso   01.01 200388 2.86 1.32 14 656715
mstressN    je    01.32 150396 3.01 2.38 1 967394
mstressN    lp    00.99 162092 2.91 1.30 16 655233
mstressN    mi    00.70 332808 3.09 0.25 58 84121
mstressN    mi-sec 00.85 344908 3.49 0.73 30 119517
mstressN    tc    00.78 149584 3.63 0.12 27 38344
mstressN    pro   01.00 163820 2.92 1.32 1 656476
rptestN     sys   .655 53556 1.00 0.43 12 14011
rptestN     iso   .632 72708 0.94 0.26 1 18864
rptestN     je    .778 49352 1.14 0.28 1 19571
rptestN     lp    .663 43024 1.05 0.45 1 11419
rptestN     mi    .955 71228 1.42 0.60 1 18470
rptestN     mi-sec 1.097 47848 1.55 0.69 1 29226
rptestN     tc    .769 45740 1.23 0.44 2 12092
rptestN     pro   .658 33824 1.05 0.45 1 9105
gs          sys   00.52 22812 0.36 0.05 1634 6144
gs          iso   00.39 47256 0.34 0.04 1 13910
